'JSP400.AffineClassification.translation_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.translation_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.translation_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.continuous_translation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.isClosed_translations' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.conjugate_translation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.commutator_translation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.closed_addSubgroup_eq_top_of_zero_accumulation' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.AffineClassification.closed_addSubgroup_eq_top_of_contraction' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.AffineClassification.all_translations_of_nontrivial_translation_and_slope' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.AffineClassification.eq_translation_of_slope_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.eq_one_of_slope_offset' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.all_translations_of_only_translations' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.AffineClassification.fixedDilationExp_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.fixedDilationExp_add' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.fixedDilationExp_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.continuous_fixedDilationExp' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.isClosed_fixedDilationTimes' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.AffineClassification.all_fixedDilations_of_common_fixed_point' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.AffineClassification.nondiscrete_closed_affine_subgroup' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'JSP400.diagonalFlow_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affineMatrix_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affineMatrix_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_affineMatrix' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affineMatrix_translation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affineMatrix_fixedDilation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affineMatrix_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_SLentry' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.isOpen_positiveMatrixDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.one_mem_positiveMatrixDomain' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_positiveMatrixAffine' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.positiveMatrixAffine_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.positiveNormalizer_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.affine_comap_nondiscrete' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.closed_matrix_subgroup_affine_alternative' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonal_translation_commutator' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_standard_invariant_no_signed_ray' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.diagonal_invariant_of_subgroup_alternative' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.preservingSubgroup_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.mem_preservingSubgroup_of_image_eq' depends on axioms: [propext, Quot.sound]
'JSP400.principalDoubleOrbit_eq_mixedDoubleSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalEnlargementGroup_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_ne_bot' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.principalUnipotent_upper' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.compact_principal_minimal_diagonal_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.margulis_theorem2_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.integer_coefficients_of_irrational_relation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.integral_column_separation' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.integral_stabilizer_entry_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.irrational_integer_stabilizer_matrix_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_ternaryForm' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryStabilizer_isClosed' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.irrational_integer_stabilizer_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardStabilizer_not_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.ternaryStabilizer_not_isCompact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.irrational_ternary_stabilizer_quotient_not_compact' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.continuous_standardToTernaryHom' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardToTernaryHom_surjective' depends on axioms: [propext, Classical.choice, Quot.sound]
'JSP400.standardToTernaryHom_stabilizer' depends on axioms: [propext, Classical.choice, Quot.sound]
